edad,fecha,segunda_dosis,cantidad,cobertura_procentual
<50,2021-04-22,69866,2084187,22.32
<50,2021-04-23,71688,2155875,23.09
<50,2021-04-24,6506,2162381,23.16
<50,2021-04-25,363,2162744,23.17
<50,2021-04-26,56222,2218966,23.77
<50,2021-04-27,48982,2267948,24.29
<50,2021-04-28,48365,2316313,24.81
<50,2021-04-29,43093,2359406,25.27
<50,2021-04-30,15511,2374917,25.44
<50,2021-05-01,758,2375675,25.45
<50,2021-05-02,354,2376029,25.45
<50,2021-05-03,33641,2409670,25.81
<50,2021-05-04,34834,2444504,26.18
<50,2021-05-05,35374,2479878,26.56
<50,2021-05-06,35240,2515118,26.94
<50,2021-05-07,31146,2546264,27.27
<50,2021-05-08,3889,2550153,27.32
<50,2021-05-09,235,2550388,27.32
<50,2021-05-10,45110,2595498,27.8
<50,2021-05-11,57831,2653329,28.42
<50,2021-05-12,58020,2711349,29.04
<50,2021-05-13,43193,2754542,29.5
<50,2021-05-14,37037,2791579,29.9
<50,2021-05-15,273,2791852,29.9
<50,2021-05-16,134,2791986,29.91
<50,2021-05-17,29022,2821008,30.22
<50,2021-05-18,28987,2849995,30.53
<50,2021-05-19,24817,2874812,30.79
<50,2021-05-20,46922,2921734,31.3
<50,2021-05-21,981,2922715,31.31
<50,2021-05-22,4308,2927023,31.35
<50,2021-05-23,388,2927411,31.36
<50,2021-05-24,45010,2972421,31.84
<50,2021-05-25,43559,3015980,32.3
<50,2021-05-26,38596,3054576,32.72
<50,2021-05-27,27920,3082496,33.02
<50,2021-05-28,29071,3111567,33.33
<50,2021-05-29,4098,3115665,33.37
<50,2021-05-30,735,3116400,33.38
<50,2021-05-31,49089,3165489,33.91
<50,2021-06-01,61211,3226700,34.56
<50,2021-06-02,62846,3289546,35.24
<50,2021-06-03,60264,3349810,35.88
<50,2021-06-04,59871,3409681,36.52
<50,2021-06-05,11238,3420919,36.64
<50,2021-06-06,1068,3421987,36.65
<50,2021-06-07,89197,3511184,37.61
<50,2021-06-08,93637,3604821,38.61
<50,2021-06-09,90023,3694844,39.58
<50,2021-06-10,84627,3779471,40.48
<50,2021-06-11,84893,3864364,41.39
<50,2021-06-12,8510,3872874,41.48
<50,2021-06-13,541,3873415,41.49
<50,2021-06-14,100010,3973425,42.56
50-69,2020-12-24,0,0,0.0
50-69,2020-12-27,0,0,0.0
50-69,2020-12-28,0,0,0.0
50-69,2020-12-29,0,0,0.0
50-69,2020-12-30,0,0,0.0
50-69,2020-12-31,0,0,0.0
50-69,2021-01-01,0,0,0.0
50-69,2021-01-02,0,0,0.0
50-69,2021-01-03,0,0,0.0
50-69,2021-01-04,0,0,0.0
50-69,2021-01-05,0,0,0.0
50-69,2021-01-06,0,0,0.0
50-69,2021-01-07,0,0,0.0
50-69,2021-01-08,0,0,0.0
50-69,2021-01-09,0,0,0.0
50-69,2021-01-10,0,0,0.0
50-69,2021-01-11,0,0,0.0
50-69,2021-01-12,0,0,0.0
50-69,2021-01-13,147,147,0.0
50-69,2021-01-14,595,742,0.02
50-69,2021-01-15,314,1056,0.02
50-69,2021-01-16,9,1065,0.03
50-69,2021-01-17,0,1065,0.03
50-69,2021-01-22,0,1065,0.03
50-69,2021-01-23,0,1065,0.03
50-69,2021-01-24,0,1065,0.03
50-69,2021-01-25,154,1219,0.03
50-69,2021-01-26,74,1293,0.03
50-69,2021-01-27,1,1294,0.03
50-69,2021-01-28,0,1294,0.03
50-69,2021-01-29,1,1295,0.03
50-69,2021-01-30,0,1295,0.03
50-69,2021-01-31,0,1295,0.03
50-69,2021-02-01,0,1295,0.03
50-69,2021-02-02,1,1296,0.03
50-69,2021-02-04,301,1597,0.04
50-69,2021-02-05,57,1654,0.04
50-69,2021-02-06,3,1657,0.04
50-69,2021-02-08,2155,3812,0.09
50-69,2021-02-09,3527,7339,0.17
50-69,2021-02-10,1596,8935,0.21
50-69,2021-02-11,601,9536,0.22
50-69,2021-02-12,42,9578,0.23
50-69,2021-02-13,5,9583,0.23
50-69,2021-02-16,6,9589,0.23
50-69,2021-02-22,7,9596,0.23
50-69,2021-02-23,4,9600,0.23
50-69,2021-02-24,27,9627,0.23
50-69,2021-02-25,23,9650,0.23
50-69,2021-02-26,23,9673,0.23
50-69,2021-02-28,0,9673,0.23
50-69,2021-03-01,64,9737,0.23
50-69,2021-03-02,2443,12180,0.29
50-69,2021-03-03,23721,35901,0.84
50-69,2021-03-04,22764,58665,1.38
50-69,2021-03-05,21559,80224,1.89
50-69,2021-03-06,4492,84716,1.99
50-69,2021-03-07,1615,86331,2.03
50-69,2021-03-08,26115,112446,2.65
50-69,2021-03-09,33642,146088,3.44
50-69,2021-03-10,40539,186627,4.39
50-69,2021-03-11,47124,233751,5.5
50-69,2021-03-12,46851,280602,6.6
50-69,2021-03-13,9122,289724,6.82
50-69,2021-03-14,1792,291516,6.86
50-69,2021-03-15,142911,434427,10.22
50-69,2021-03-16,146268,580695,13.66
50-69,2021-03-17,123845,704540,16.58
50-69,2021-03-18,105346,809886,19.05
50-69,2021-03-19,97815,907701,21.36
50-69,2021-03-20,5102,912803,21.48
50-69,2021-03-21,586,913389,21.49
50-69,2021-03-22,65953,979342,23.04
50-69,2021-03-23,46306,1025648,24.13
50-69,2021-03-24,26521,1052169,24.75
50-69,2021-03-25,21239,1073408,25.25
50-69,2021-03-26,22180,1095588,25.78
50-69,2021-03-27,1262,1096850,25.81
50-69,2021-03-28,223,1097073,25.81
50-69,2021-03-29,77233,1174306,27.63
50-69,2021-03-30,93399,1267705,29.82
50-69,2021-03-31,99420,1367125,32.16
50-69,2021-04-01,120590,1487715,35.0
50-69,2021-04-02,4135,1491850,35.1
50-69,2021-04-03,1024,1492874,35.12
50-69,2021-04-04,342,1493216,35.13
50-69,2021-04-05,163831,1657047,38.98
50-69,2021-04-06,119128,1776175,41.79
50-69,2021-04-07,111806,1887981,44.42
50-69,2021-04-08,130803,2018784,47.5
50-69,2021-04-09,72987,2091771,49.21
50-69,2021-04-10,10034,2101805,49.45
50-69,2021-04-11,817,2102622,49.47
50-69,2021-04-12,64495,2167117,50.99
50-69,2021-04-13,52316,2219433,52.22
50-69,2021-04-14,43883,2263316,53.25
50-69,2021-04-15,38261,2301577,54.15
50-69,2021-04-16,36492,2338069,55.01
50-69,2021-04-17,4472,2342541,55.11
50-69,2021-04-18,602,2343143,55.13
50-69,2021-04-19,48145,2391288,56.26
50-69,2021-04-20,41564,2432852,57.24
50-69,2021-04-21,69019,2501871,58.86
50-69,2021-04-22,70730,2572601,60.52
50-69,2021-04-23,69052,2641653,62.15
50-69,2021-04-24,5174,2646827,62.27
50-69,2021-04-25,307,2647134,62.28
50-69,2021-04-26,94085,2741219,64.49
50-69,2021-04-27,80247,2821466,66.38
50-69,2021-04-28,74413,2895879,68.13
50-69,2021-04-29,79026,2974905,69.99
50-69,2021-04-30,20481,2995386,70.47
50-69,2021-05-01,419,2995805,70.48
50-69,2021-05-02,297,2996102,70.49
50-69,2021-05-03,40106,3036208,71.43
50-69,2021-05-04,51461,3087669,72.64
50-69,2021-05-05,55953,3143622,73.96
50-69,2021-05-06,39308,3182930,74.88
50-69,2021-05-07,30973,3213903,75.61
50-69,2021-05-08,4098,3218001,75.71
50-69,2021-05-09,202,3218203,75.71
50-69,2021-05-10,23535,3241738,76.27
50-69,2021-05-11,25202,3266940,76.86
50-69,2021-05-12,18615,3285555,77.3
50-69,2021-05-13,15621,3301176,77.67
50-69,2021-05-14,17479,3318655,78.08
50-69,2021-05-15,123,3318778,78.08
50-69,2021-05-16,34,3318812,78.08
50-69,2021-05-17,16503,3335315,78.47
50-69,2021-05-18,17053,3352368,78.87
50-69,2021-05-19,15077,3367445,79.22
50-69,2021-05-20,14954,3382399,79.58
50-69,2021-05-21,352,3382751,79.58
50-69,2021-05-22,1849,3384600,79.63
50-69,2021-05-23,190,3384790,79.63
50-69,2021-05-24,14600,3399390,79.98
50-69,2021-05-25,11811,3411201,80.25
50-69,2021-05-26,8706,3419907,80.46
50-69,2021-05-27,7351,3427258,80.63
50-69,2021-05-28,10519,3437777,80.88
50-69,2021-05-29,1552,3439329,80.92
50-69,2021-05-30,218,3439547,80.92
50-69,2021-05-31,9371,3448918,81.14
50-69,2021-06-01,9065,3457983,81.35
50-69,2021-06-02,7842,3465825,81.54
50-69,2021-06-03,7219,3473044,81.71
50-69,2021-06-04,7493,3480537,81.89
50-69,2021-06-05,1609,3482146,81.92
50-69,2021-06-06,140,3482286,81.93
50-69,2021-06-07,9516,3491802,82.15
50-69,2021-06-08,9232,3501034,82.37
50-69,2021-06-09,8751,3509785,82.57
50-69,2021-06-10,7682,3517467,82.75
50-69,2021-06-11,7866,3525333,82.94
50-69,2021-06-12,758,3526091,82.96
50-69,2021-06-13,42,3526133,82.96
50-69,2021-06-14,6958,3533091,83.12
>=70,2020-12-24,0,0,0.0
>=70,2020-12-25,0,0,0.0
>=70,2020-12-26,0,0,0.0
>=70,2020-12-27,0,0,0.0
>=70,2020-12-28,0,0,0.0
>=70,2020-12-29,0,0,0.0
>=70,2020-12-30,0,0,0.0
>=70,2020-12-31,0,0,0.0
>=70,2021-01-01,0,0,0.0
>=70,2021-01-02,0,0,0.0
>=70,2021-01-03,0,0,0.0
>=70,2021-01-04,0,0,0.0
>=70,2021-01-05,0,0,0.0
>=70,2021-01-06,0,0,0.0
>=70,2021-01-07,0,0,0.0
>=70,2021-01-08,0,0,0.0
>=70,2021-01-09,0,0,0.0
>=70,2021-01-10,0,0,0.0
>=70,2021-01-11,0,0,0.0
>=70,2021-01-12,0,0,0.0
>=70,2021-01-13,2,2,0.0
>=70,2021-01-14,12,14,0.0
>=70,2021-01-15,3,17,0.0
>=70,2021-01-16,0,17,0.0
>=70,2021-01-17,0,17,0.0
>=70,2021-01-18,0,17,0.0
>=70,2021-01-19,0,17,0.0
>=70,2021-01-20,0,17,0.0
>=70,2021-01-21,0,17,0.0
>=70,2021-01-22,0,17,0.0
>=70,2021-01-23,0,17,0.0
>=70,2021-01-24,0,17,0.0
>=70,2021-01-25,1,18,0.0
>=70,2021-01-26,0,18,0.0
>=70,2021-01-27,0,18,0.0
>=70,2021-01-28,0,18,0.0
>=70,2021-01-29,0,18,0.0
>=70,2021-01-30,0,18,0.0
>=70,2021-01-31,0,18,0.0
>=70,2021-02-01,0,18,0.0
>=70,2021-02-02,0,18,0.0
>=70,2021-02-03,0,18,0.0
>=70,2021-02-04,5,23,0.0
>=70,2021-02-05,3,26,0.0
>=70,2021-02-06,0,26,0.0
>=70,2021-02-07,0,26,0.0
>=70,2021-02-08,180,206,0.01
>=70,2021-02-09,313,519,0.03
>=70,2021-02-10,167,686,0.04
>=70,2021-02-11,92,778,0.05
>=70,2021-02-12,0,778,0.05
>=70,2021-02-13,0,778,0.05
>=70,2021-02-14,0,778,0.05
>=70,2021-02-15,0,778,0.05
>=70,2021-02-16,3,781,0.05
>=70,2021-02-17,0,781,0.05
>=70,2021-02-18,0,781,0.05
>=70,2021-02-19,0,781,0.05
>=70,2021-02-20,0,781,0.05
>=70,2021-02-21,0,781,0.05
>=70,2021-02-22,0,781,0.05
>=70,2021-02-23,1,782,0.05
>=70,2021-02-24,16,798,0.05
>=70,2021-02-25,5,803,0.05
>=70,2021-02-26,0,803,0.05
>=70,2021-02-27,0,803,0.05
>=70,2021-02-28,0,803,0.05
>=70,2021-03-01,15,818,0.05
>=70,2021-03-02,603,1421,0.09
>=70,2021-03-03,54220,55641,3.45
>=70,2021-03-04,79753,135394,8.39
>=70,2021-03-05,85107,220501,13.66
>=70,2021-03-06,13560,234061,14.5
>=70,2021-03-07,4287,238348,14.76
>=70,2021-03-08,144273,382621,23.7
>=70,2021-03-09,151602,534223,33.09
>=70,2021-03-10,168561,702784,43.53
>=70,2021-03-11,141967,844751,52.33
>=70,2021-03-12,127513,972264,60.23
>=70,2021-03-13,8767,981031,60.77
>=70,2021-03-14,1162,982193,60.84
>=70,2021-03-15,78406,1060599,65.7
>=70,2021-03-16,40651,1101250,68.22
>=70,2021-03-17,29943,1131193,70.07
>=70,2021-03-18,25487,1156680,71.65
>=70,2021-03-19,21412,1178092,72.98
>=70,2021-03-20,2230,1180322,73.11
>=70,2021-03-21,268,1180590,73.13
>=70,2021-03-22,24519,1205109,74.65
>=70,2021-03-23,19046,1224155,75.83
>=70,2021-03-24,15213,1239368,76.77
>=70,2021-03-25,12771,1252139,77.56
>=70,2021-03-26,11760,1263899,78.29
>=70,2021-03-27,607,1264506,78.33
>=70,2021-03-28,48,1264554,78.33
>=70,2021-03-29,8349,1272903,78.85
>=70,2021-03-30,7046,1279949,79.29
>=70,2021-03-31,6726,1286675,79.7
>=70,2021-04-01,7356,1294031,80.16
>=70,2021-04-02,197,1294228,80.17
>=70,2021-04-03,72,1294300,80.17
>=70,2021-04-04,19,1294319,80.18
>=70,2021-04-05,8619,1302938,80.71
>=70,2021-04-06,5981,1308919,81.08
>=70,2021-04-07,5526,1314445,81.42
>=70,2021-04-08,5651,1320096,81.77
>=70,2021-04-09,5506,1325602,82.11
>=70,2021-04-10,593,1326195,82.15
>=70,2021-04-11,53,1326248,82.15
>=70,2021-04-12,5121,1331369,82.47
>=70,2021-04-13,4491,1335860,82.75
>=70,2021-04-14,4235,1340095,83.01
>=70,2021-04-15,3919,1344014,83.25
>=70,2021-04-16,3759,1347773,83.49
>=70,2021-04-17,405,1348178,83.51
>=70,2021-04-18,38,1348216,83.51
>=70,2021-04-19,3665,1351881,83.74
>=70,2021-04-20,3273,1355154,83.94
>=70,2021-04-21,2959,1358113,84.13
>=70,2021-04-22,2579,1360692,84.29
>=70,2021-04-23,2349,1363041,84.43
>=70,2021-04-24,192,1363233,84.44
>=70,2021-04-25,18,1363251,84.45
>=70,2021-04-26,2508,1365759,84.6
>=70,2021-04-27,2261,1368020,84.74
>=70,2021-04-28,2128,1370148,84.87
>=70,2021-04-29,1853,1372001,84.99
>=70,2021-04-30,749,1372750,85.03
>=70,2021-05-01,23,1372773,85.03
>=70,2021-05-02,8,1372781,85.04
>=70,2021-05-03,1600,1374381,85.13
>=70,2021-05-04,1663,1376044,85.24
>=70,2021-05-05,1648,1377692,85.34
>=70,2021-05-06,1545,1379237,85.44
>=70,2021-05-07,1243,1380480,85.51
>=70,2021-05-08,139,1380619,85.52
>=70,2021-05-09,6,1380625,85.52
>=70,2021-05-10,1239,1381864,85.6
>=70,2021-05-11,1508,1383372,85.69
>=70,2021-05-12,1169,1384541,85.76
>=70,2021-05-13,1145,1385686,85.83
>=70,2021-05-14,1143,1386829,85.91
>=70,2021-05-15,7,1386836,85.91
>=70,2021-05-16,2,1386838,85.91
>=70,2021-05-17,1133,1387971,85.98
>=70,2021-05-18,1235,1389206,86.05
>=70,2021-05-19,1026,1390232,86.12
>=70,2021-05-20,1193,1391425,86.19
>=70,2021-05-21,16,1391441,86.19
>=70,2021-05-22,96,1391537,86.2
>=70,2021-05-23,8,1391545,86.2
>=70,2021-05-24,1206,1392751,86.27
>=70,2021-05-25,1065,1393816,86.34
>=70,2021-05-26,808,1394624,86.39
>=70,2021-05-27,761,1395385,86.44
>=70,2021-05-28,986,1396371,86.5
>=70,2021-05-29,94,1396465,86.5
>=70,2021-05-30,13,1396478,86.5
>=70,2021-05-31,891,1397369,86.56
>=70,2021-06-01,922,1398291,86.62
>=70,2021-06-02,880,1399171,86.67
>=70,2021-06-03,838,1400009,86.72
>=70,2021-06-04,799,1400808,86.77
>=70,2021-06-05,124,1400932,86.78
>=70,2021-06-06,7,1400939,86.78
>=70,2021-06-07,1023,1401962,86.84
>=70,2021-06-08,1067,1403029,86.91
>=70,2021-06-09,958,1403987,86.97
>=70,2021-06-10,856,1404843,87.02
>=70,2021-06-11,814,1405657,87.07
>=70,2021-06-12,66,1405723,87.08
>=70,2021-06-13,3,1405726,87.08
>=70,2021-06-14,722,1406448,87.12
